id,brand,gym_name,street_address,postal_code,city,region,country,homepage,instagram,latitude,longitude,bouldering,lead,top_rope,moonboard,kilterboard,spraywall,continent,grading_type,last_verified,status,status_date,successor_id
dk-boulders-aalborg,Boulders,Boulders Aalborg,Skjernvej 4A,9220,Aalborg,Nordjylland,Denmark,https://boulders.dk,@bouldersaalborg,57.0290410,9.9755000,true,false,false,true,true,true,Europe,color,2026-06-14,,,
dk-boulders-aarhus-aaby,Boulders,Boulders Aarhus Aaby,Søren Frichs Vej 54,8230,Aabyhøj,Midtjylland,Denmark,https://boulders.dk,@bouldersaarhusaaby,56.1508900,10.1667970,true,false,false,true,true,true,Europe,color,2026-06-14,,,
dk-boulders-aarhus-city,Boulders,Boulders Aarhus City,Ankersgade 12C,8000,Aarhus C,Midtjylland,Denmark,https://boulders.dk,@bouldersaarhuscity,56.1480740,10.1900440,true,false,false,true,false,true,Europe,color,2026-06-13,,,
dk-boulders-aarhus-nord,Boulders,Boulders Aarhus Nord,Graham Bells Vej 18A,8200,Aarhus N,Midtjylland,Denmark,https://boulders.dk,@bouldersaarhusnord,56.2051810,10.1816910,true,false,false,true,false,true,Europe,color,2026-06-13,,,
dk-boulders-aarhus-syd,Boulders,Boulders Aarhus Syd,Søren Nymarks Vej 6A,8270,Højbjerg,Midtjylland,Denmark,https://boulders.dk,@bouldersaarhussyd,56.1099360,10.1563490,true,false,false,false,true,true,Europe,color,2026-06-13,,,
dk-boulders-odense,Boulders,Boulders Odense,Wichmandsgade 11,5000,Odense C,Syddanmark,Denmark,https://boulders.dk,@bouldersodense,55.4025200,10.3733340,true,false,false,true,false,true,Europe,color,2026-06-13,,,
dk-boulders-amager,Boulders,Boulders Amager,Amager Landevej 233,2770,Kastrup,Hovedstaden,Denmark,https://boulders.dk,@bouldersamager,55.6192760,12.6280490,true,false,false,false,true,false,Europe,color,2026-06-13,,,
dk-boulders-hvidovre,Boulders,Boulders Hvidovre,Strandmarksvej 20,2650,Hvidovre,Hovedstaden,Denmark,https://boulders.dk,@bouldershvidovre,55.6268910,12.4846610,true,false,false,false,true,true,Europe,color,2026-06-13,,,
dk-boulders-sydhavn,Boulders,Boulders Sydhavn,Bådehavnsgade 38,2450,København SV,Hovedstaden,Denmark,https://boulders.dk,@boulderscphsydhavn,55.6420140,12.5394270,true,false,false,true,false,true,Europe,color,2026-06-13,,,
dk-boulders-valby,Boulders,Boulders Valby,Pakkerivej 27,2500,Valby,Hovedstaden,Denmark,https://boulders.dk,@bouldersvalby,55.6610560,12.5152400,true,false,false,false,true,false,Europe,color,2026-06-13,,,
dk-boulders-vanlose,Boulders,Boulders Vanløse,"Vanløse Torv 1, Kronen",2720,Vanløse,Hovedstaden,Denmark,https://boulders.dk,@bouldersvanloese,55.6872998,12.4930022,true,false,false,true,true,true,Europe,color,2026-06-13,,,
dk-bison-kodbyen,Bison Boulders,Bison Boulders Kødbyen,Flæsketorvet 89,1711,København V,Hovedstaden,Denmark,https://www.bison-boulders.com,@bison.boulders,55.6672260,12.5609790,true,false,false,,,,Europe,color,2026-06-13,,,
dk-bison-tobaksbyen,Bison Boulders,Bison Boulders Tobaksbyen,Tobaksvejen 20,2860,Søborg,Hovedstaden,Denmark,https://www.bison-boulders.com,@bison.boulders,55.7405280,12.4768630,true,false,false,,,,Europe,color,2026-06-13,,,
dk-beta-osterbro,Beta Boulders,Beta Boulders Østerbro,Aldersrogade 6C,2100,København Ø,Hovedstaden,Denmark,https://betaboulders.com,@betaboulders,55.7069360,12.5610110,true,false,false,false,true,,Europe,color,2026-06-13,,,
dk-beta-sydhavn,Beta Boulders,Beta Boulders Sydhavn,Pladehals Allé 26,2450,København SV,Hovedstaden,Denmark,https://betaboulders.com,@betaboulders,55.6558260,12.5512150,true,false,false,,,,Europe,color,2026-06-13,,,
